hostname,n_planets,avg_pl_rade,avg_pl_bmasse,avg_orbper,sy_dist,st_teff
HD 107148,2,7.15,43.318529139999995,33.19135,49.4156,5797.0
Kepler-321,2,2.045,4.885,9.00465,384.542,5740.0
HAT-P-17,2,12.434725,632.4707,2797.16926,92.3831,5336.96
Kepler-1398,2,0.9650000000000001,0.873,3.4632163699999996,852.204,6126.0
Kepler-1513,2,9.797,66.42613706,501.14209999999997,349.247,5491.0
Kepler-1926,1,2.31495961,5.97,42.87770081,667.405,5256.0
TOI-892,1,11.99363,301.9385,10.62656,340.543,6261.0
HIP 67537,1,12.3,4309.11754211,2523.64713,116.046,4985.0
GJ 9773,1,14.2,172.580825,2965.0,15.9211,3528.0
HD 8574,1,13.4,645.1949,227.0,44.8264,6064.0
K2-177,1,2.1162048,5.13,14.155185,492.167,6063.0
Kepler-1211,1,2.55,7.04,11.01816836,1826.53,5705.0
Kepler-1163,1,1.03,1.08,6.11786898,478.647,6302.0
BD+55 362,1,14.0,228.83645304,265.59,52.5697,5012.0
KMT-2023-BLG-1454L,1,14.1,200.23189641,,7220.0,
KMT-2019-BLG-1953L,1,14.1,200.0,,7040.0,
HD 46375,1,10.0,71.8,3.023573,29.5529,5285.0
WASP-67,1,12.89035,136.6669,4.61442,189.469,5200.0
kap CrB,1,13.4,591.1638,1253.68,30.0651,4840.0
WASP-197,1,14.44837612,403.32424848,5.167228,483.675,6050.0
Kepler-1910,1,1.184,1.78,5.688769817,,4234.0
TOI-2184,1,11.39953337,206.58846455,6.90683,788.317,5966.0
HD 220689,1,13.7,381.3940884,2266.4,46.8778,5921.0
Kepler-1416,1,0.88,0.615,1.49514952,949.59,6019.0
Kepler-1432,1,2.22,5.56,23.9109011,2171.87,6031.0
Kepler-1395,1,0.8,0.437,3.78470649,492.894,6138.0
Kepler-632,1,2.21,5.52,30.99660733,349.0,5322.0
Kepler-727,1,2.53,6.94,5.154484417,831.842,5441.0
Kepler-1847,1,2.74516914,7.97,11.12969971,1693.86,6122.0
K2-184,1,1.47,2.76,16.9780102,75.5857,5245.0
HD 10975,1,14.3,143.02278315,283.8,116.506,4840.0
Kepler-1339,1,0.71,0.285,1.341555127,371.049,5586.0
WASP-12,1,22.02564708,467.2101,1.091418901,427.246,6265.0
Kepler-1282,1,1.55,3.02,2.131946513,1103.29,5504.0
Kepler-1580,1,2.11,5.1,56.6449279,1002.02,6228.0
HAT-P-50,1,14.437192,429.0705,3.1220109,515.458,6280.0
TOI-1333,1,15.647764,753.2571,4.720219,200.492,6274.0
HD 16175,1,12.8,1875.1876013,990.0,59.859,5981.0
TOI-1768,1,3.453,11.8,7.337703649,157.597,5994.0
Kepler-1465,1,1.77,3.78,31.8277111,359.497,4726.0
Kepler-649,1,2.26,5.73,29.90722674,513.748,5871.0
Kepler-955,1,3.13,9.96,14.53244172,550.383,5350.0
Kepler-779,1,0.92,0.721,7.09714223,283.155,3804.0
TOI-4527,1,0.9086617,0.689,0.3994445,18.1037,3702.0
Kepler-995,1,2.7,7.75,28.26731672,609.638,5206.0
Kepler-1309,1,2.37,6.21,28.8432647,845.0,5235.0
Kepler-1618,1,1.26,2.13,6.10826019,1229.25,6620.0
Kepler-612,1,2.84,8.45,3.722156413,1445.53,5693.0
TOI-5720,1,1.09,4.3,1.4344555,35.8256,3325.0
WASP-110,1,13.19297028,154.78243421,3.7784022,274.96,5392.0
Kepler-1712,1,2.28372556,5.83,13.81499958,156.264,3732.0
Kepler-1794,1,1.79426276,3.87,9.762980461,561.229,5052.0
KMT-2018-BLG-0885L,1,11.9,9217.023803,,6890.0,
TOI-3321,1,15.55806521,176.07693748,3.6525145,285.895,5850.0
Kepler-443,1,2.33,6.04,177.6693,802.271,4723.0
NGTS-1,1,14.90797,258.07796,2.647298,218.121,3916.0
HD 87883,1,12.7,2005.49724817,3006.0,18.2912,4980.0
TrES-3,1,14.975,607.03,1.30618581,231.337,5650.0
WASP-151,1,13.30506009,100.43377661,4.5334775,453.099,5871.0
OGLE-TR-182,1,12.666,320.995,3.9791,2501.75,5924.0
K2-231,1,2.5,6.8,13.841901,321.215,5695.0
HD 6434,1,14.2,155.7367,21.998,42.358,5769.0
WASP-74,1,15.24424,228.8376,2.13775,149.216,5990.0
TOI-907,1,9.6158851,67.0,4.5849129,312.529,6272.0
tau Gem,1,12.1,6547.0,305.5,112.537,4388.0
TIC 241249530,1,13.29385111,1582.78546686,165.7719,324.448,6166.0
